id,product_id,product_type_id,class_category_id1,class_category_id2,delivery_date_id,creator_id,product_code,stock,stock_unlimited,sale_limit,price01,price02,delivery_fee,create_date,update_date,visible,currency_code,discriminator_type
"0","1","1",,,,,"fork-01",,"1",,"115000","110000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","0","JPY","productclass"
"1","1","1","3","6",,,"fork-01",,"1",,"115000","110000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"2","1","1","3","5",,,"fork-02",,"1",,"95000","93000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"3","1","1","3","4",,,"fork-03",,"1",,"75000","74000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"4","1","1","2","6",,,"fork-04",,"1",,"95000","93000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"5","1","1","2","5",,,"fork-05",,"1",,"50000","49000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"6","1","1","2","4",,,"fork-06",,"1",,"35000","34500",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"7","1","1","1","6",,,"fork-07",,"1",,,"18000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"8","1","1","1","5",,,"fork-08",,"1",,,"13000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"9","1","1","1","4",,,"fork-09",,"1",,,"5000",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
"10","2","1",,,,,"cafe-01","100","0","5","3000","2800",,"2017-03-07 10:14:52","2017-03-07 10:14:52","1","JPY","productclass"
