"id","device_type_id","block_name","file_name","create_date","update_date","use_controller","deletable","discriminator_type"
"1","10","カート","cart","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"2","10","カテゴリ","category","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"3","10","カテゴリナビ(PC)","category_nav_pc","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"4","10","カテゴリナビ(SP)","category_nav_sp","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"5","10","新入荷商品特集","eyecatch","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"6","10","フッター","footer","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"7","10","ヘッダー(商品検索・ログインナビ・カート)","header","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"8","10","ログインナビ(共通)","login","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"9","10","ログインナビ(SP)","login_sp","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"10","10","ロゴ","logo","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"11","10","新着商品","new_item","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"12","10","新着情報","news","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"13","10","商品検索","search_product","2017-03-07 10:14:52","2017-03-07 10:14:52","1","0","block"
"14","10","トピック","topic","2017-03-07 10:14:52","2017-03-07 10:14:52","0","0","block"
"17","10","カレンダー","calendar","2021-03-16 12:00:00","2021-03-16 12:00:00","1","0","block"
