705P,705P,300000,Y,240,240,jpg,15000,Y
705SC,705SC,300000,Y,230,230,jpg,15000,Y
706SC,706SC,300000,Y,230,230,jpg,15000,Y
707SC,707SC,300000,Y,230,230,jpg,15000,Y
810SH,810SH,300000,Y,480,480,jpg,15000,Y
810T,810T,300000,Y,240,240,jpg,15000,Y
811SH,811SH,300000,Y,480,480,jpg,15000,Y
811T,811T,300000,Y,240,240,jpg,15000,Y
910SH,910SH,300000,Y,480,480,jpg,15000,Y
910T,910T,300000,Y,240,240,jpg,15000,Y
911SH,911SH,300000,Y,234,232,jpg,15000,Y
J-D03,J-D03,6000,N,120,120,jpg,5000,N
J-D04,J-D04,6000,N,120,120,jpg,5000,N
J-D05,J-D05,6000,N,132,132,jpg,5000,N
J-D06,J-D06,6000,N,132,132,jpg,5000,N
J-D07,J-D07,6000,N,128,128,jpg,5000,N
J-D08,J-D08,6000,N,132,132,jpg,5000,N
J-D31,J-D31,6000,N,120,120,jpg,5000,N
J-DN02,J-DN02,6000,N,116,112,png,5000,N
J-DN02_a,J-DN02_a,6000,N,116,112,png,5000,N
J-DN02_b,J-DN02_b,6000,N,116,112,png,5000,N
J-DN03,J-DN03,6000,N,120,120,jpg,5000,N
J-DN03_a,J-DN03_a,6000,N,120,120,jpg,5000,N
J-K03,J-K03,6000,N,120,120,jpg,5000,N
J-K04,J-K04,6000,N,120,120,jpg,5000,N
J-K05,J-K05,6000,N,120,120,jpg,5000,N
J-K51,J-K51,12000,Y,128,128,jpg,10000,Y
J-N03,J-N03,6000,N,120,120,jpg,5000,N
J-N03II,J-N03B,6000,N,120,120,jpg,5000,N
J-N04,J-N04,6000,N,120,120,jpg,5000,N
J-N05,J-N05,6000,N,160,160,jpg,5000,N
J-N51,J-N51,12000,Y,160,160,jpg,10000,Y
J-NM01,J-NM01,6000,N,120,120,jpg,5000,N
J-NM01_a,J-NM01_a,6000,N,120,120,jpg,5000,N
J-NM01_b,J-NM01_b,6000,N,120,120,jpg,5000,N
J-NM02,J-NM02,6000,N,120,120,jpg,5000,N
J-P02,J-P02,6000,N,96,96,png,5000,N
J-P02_a,J-P02_a,6000,N,96,96,png,5000,N
J-P03,J-P03,6000,N,96,96,png,5000,N
J-P51,J-P51,12000,Y,120,120,jpg,10000,Y
J-PE03,J-PE03,6000,N,120,120,jpg,5000,N
J-PE03_a,J-PE03_a,6000,N,120,120,jpg,5000,N
J-PE03_b,J-PE03_b,6000,N,120,120,jpg,5000,N
J-PE03_c,J-PE03_c,6000,N,120,120,jpg,5000,N
J-PE03II,J-PE03B,6000,N,120,120,jpg,5000,N
J-PE03II(J-PE03B_a),J-PE03B_a,6000,N,120,120,jpg,5000,N
J-SA02,J-SA02,6000,N,96,96,png,5000,N
J-SA03,J-SA03,6000,N,120,120,jpg,5000,N
J-SA03_a,J-SA03_a,6000,N,120,120,jpg,5000,N
J-SA03_b,J-SA03_b,6000,N,120,120,jpg,5000,N
J-SA04,J-SA04,6000,N,120,120,jpg,5000,N
J-SA04_a,J-SA04_a,6000,N,120,120,jpg,5000,N
J-SA05,J-SA05,6000,N,120,120,jpg,5000,N
J-SA06,J-SA06,6000,N,132,132,jpg,5000,N
J-SA51,J-SA51,12000,Y,132,132,jpg,10000,Y
J-SA51_a,J-SA51_a,12000,Y,132,132,jpg,10000,Y
J-SH02,J-SH02,6000,N,96,96,png,5000,N
J-SH02_a,J-SH02_a,6000,N,96,96,png,5000,N
J-SH03,J-SH03,6000,N,96,96,png,5000,N
J-SH03_a,J-SH03_a,6000,N,96,96,png,5000,N
J-SH04,J-SH04,6000,N,96,96,jpg,5000,N
J-SH04_a,J-SH04_a,6000,N,96,96,jpg,5000,N
J-SH04_b,J-SH04_b,6000,N,96,96,jpg,5000,N
