id,delivery_id,pref_id,fee,discriminator_type
"1","1","1","1000","deliveryfee"
"2","1","2","1000","deliveryfee"
"3","1","3","1000","deliveryfee"
"4","1","4","1000","deliveryfee"
"5","1","5","1000","deliveryfee"
"6","1","6","1000","deliveryfee"
"7","1","7","1000","deliveryfee"
"8","1","8","1000","deliveryfee"
"9","1","9","1000","deliveryfee"
"10","1","10","1000","deliveryfee"
"11","1","11","1000","deliveryfee"
"12","1","12","1000","deliveryfee"
"13","1","13","1000","deliveryfee"
"14","1","14","1000","deliveryfee"
"15","1","15","1000","deliveryfee"
"16","1","16","1000","deliveryfee"
"17","1","17","1000","deliveryfee"
"18","1","18","1000","deliveryfee"
"19","1","19","1000","deliveryfee"
"20","1","20","1000","deliveryfee"
"21","1","21","1000","deliveryfee"
"22","1","22","1000","deliveryfee"
"23","1","23","1000","deliveryfee"
"24","1","24","1000","deliveryfee"
"25","1","25","1000","deliveryfee"
"26","1","26","1000","deliveryfee"
"27","1","27","1000","deliveryfee"
"28","1","28","1000","deliveryfee"
"29","1","29","1000","deliveryfee"
"30","1","30","1000","deliveryfee"
"31","1","31","1000","deliveryfee"
"32","1","32","1000","deliveryfee"
"33","1","33","1000","deliveryfee"
"34","1","34","1000","deliveryfee"
"35","1","35","1000","deliveryfee"
"36","1","36","1000","deliveryfee"
"37","1","37","1000","deliveryfee"
"38","1","38","1000","deliveryfee"
"39","1","39","1000","deliveryfee"
"40","1","40","1000","deliveryfee"
"41","1","41","1000","deliveryfee"
"42","1","42","1000","deliveryfee"
"43","1","43","1000","deliveryfee"
"44","1","44","1000","deliveryfee"
"45","1","45","1000","deliveryfee"
"46","1","46","1000","deliveryfee"
"47","1","47","1000","deliveryfee"
"48","2","1","0","deliveryfee"
"49","2","2","0","deliveryfee"
"50","2","3","0","deliveryfee"
"51","2","4","0","deliveryfee"
"52","2","5","0","deliveryfee"
"53","2","6","0","deliveryfee"
"54","2","7","0","deliveryfee"
"55","2","8","0","deliveryfee"
"56","2","9","0","deliveryfee"
"57","2","10","0","deliveryfee"
"58","2","11","0","deliveryfee"
"59","2","12","0","deliveryfee"
"60","2","13","0","deliveryfee"
"61","2","14","0","deliveryfee"
"62","2","15","0","deliveryfee"
"63","2","16","0","deliveryfee"
"64","2","17","0","deliveryfee"
"65","2","18","0","deliveryfee"
"66","2","19","0","deliveryfee"
"67","2","20","0","deliveryfee"
"68","2","21","0","deliveryfee"
"69","2","22","0","deliveryfee"
"70","2","23","0","deliveryfee"
"71","2","24","0","deliveryfee"
"72","2","25","0","deliveryfee"
"73","2","26","0","deliveryfee"
"74","2","27","0","deliveryfee"
"75","2","28","0","deliveryfee"
"76","2","29","0","deliveryfee"
"77","2","30","0","deliveryfee"
"78","2","31","0","deliveryfee"
"79","2","32","0","deliveryfee"
"80","2","33","0","deliveryfee"
"81","2","34","0","deliveryfee"
"82","2","35","0","deliveryfee"
"83","2","36","0","deliveryfee"
"84","2","37","0","deliveryfee"
"85","2","38","0","deliveryfee"
"86","2","39","0","deliveryfee"
"87","2","40","0","deliveryfee"
"88","2","41","0","deliveryfee"
"89","2","42","0","deliveryfee"
"90","2","43","0","deliveryfee"
"91","2","44","0","deliveryfee"
"92","2","45","0","deliveryfee"
"93","2","46","0","deliveryfee"
"94","2","47","0","deliveryfee"
